시점,합계,컴퓨터 및 주변기기,가전·전자·통신기기,서적,사무·문구,의복,신발,가방,패션용품 및 액세서리,스포츠·레저용품,화장품,아동·유아용품,음·식료품,농축수산물,생활용품,자동차 및 자동차용품,가구,애완용품,여행 및 교통서비스,문화 및 레저서비스,e쿠폰서비스,음식서비스,기타서비스,기타
시점,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
2020. 01,12308866,540234,1133998,171425,80501,1040353,180831,211105,201146,287829,1123578,340776,1417289,489675,970074,114215,300510,85140,1566484,163257,311692,1063760,172868,342127
2020. 02,11945935,608666,1334641,190534,90243,949352,191538,210768,184087,297815,1048597,395489,1482929,463071,1157257,161620,368120,85799,707906,65598,329168,1135266,162296,325178
2020. 03,12575341,681731,1408598,262404,90968,1173379,227270,220548,185300,369415,980911,417960,1640869,527136,1265442,212138,439763,91554,327756,37504,353174,1252396,79472,329653
2020. 04,12053828,634777,1334302,205572,83473,1162388,226645,200043,170263,439164,960350,411887,1523528,479364,1108836,133993,409455,90923,442282,47288,338952,1263087,130129,257130
2020. 05,12748344,583994,1548029,170009,83975,1343403,284134,226162,194764,495367,933034,414630,1479481,433631,1179159,143859,407121,91046,565043,75411,344708,1320737,103855,326793
2020. 06,12678358,525958,1518651,170719,81865,1323317,284285,241128,193127,494845,982997,379612,1444421,434082,1195846,261466,404547,88564,607339,71150,314304,1253393,110438,296303
2020. 07,12966841,600372,1390898,187112,85045,1105548,246380,240048,208392,511964,1004536,384059,1590820,480415,1227598,158878,390038,96855,805709,100756,336553,1378555,118507,317804
2020. 08,13496390,579298,1637033,202952,75108,915563,202283,226027,188105,420777,1081864,377351,1641205,509825,1283724,203186,414350,93103,796217,81853,350128,1676636,167849,371952
2020. 09,13857627,606888,1416798,220562,87363,1149298,216332,223559,165557,457988,1074212,394561,2032830,733033,1252806,218132,452577,96358,554628,62151,401636,1603571,146429,290359
2020. 10,13884207,551700,1612744,170189,94473,1597835,256027,234801,168864,563076,1031873,396121,1649211,494660,1203768,153457,456300,100676,690384,102261,356650,1546299,165296,287544
2020. 11,15031417,649088,1929767,197066,102669,1757900,292241,247393,183729,550189,1134450,409473,1763205,517277,1250633,217731,453800,100832,696532,71956,398516,1642587,133133,331250
2020. 12,15891202,786829,1872713,266447,131754,1497038,271437,248491,211136,481186,1074652,533733,2013597,650936,1410050,205792,497857,108765,474443,13390,430739,2197328,145447,367440
2021. 01,15069277,791018,1873128,258758,99094,1090709,202386,228165,177952,393222,1080616,411893,2165480,749956,1308069,155503,491332,104957,498544,34316,440480,2031039,168448,314216
2021. 02,13915804,785277,1655248,213900,94158,1008665,212108,240570,168473,365943,926777,382246,1894415,673643,1181005,155470,451537,93679,575674,76700,479509,1824484,182217,274108
2021. 03,15954632,861298,1725923,270967,112341,1475747,276161,285813,200097,510082,1070524,461881,1988637,615609,1343553,350815,520424,105400,622410,87044,485374,1966335,263921,354275
2021. 04,15136515,684698,1683018,195381,102809,1396195,251014,275407,201885,567862,1035684,474187,1975666,602889,1286125,183025,468065,102033,697954,87990,442112,1976270,144092,302152
2021. 05,16105888,663611,1851418,186464,91202,1402264,285467,274212,215521,553661,1157396,471572,2041265,618623,1340060,403184,455082,105787,793773,100946,496088,2141055,157810,299426
2021. 06,15696608,613258,1787899,184325,89816,1432246,294746,258565,204259,538192,1039432,433161,1958851,586679,1343650,520183,448509,106002,819921,126718,483505,1972304,188837,265552
2021. 07,16199648,728138,2062302,221254,85613,1283677,250854,261409,211425,554474,982003,452458,2067564,623627,1441364,170584,446650,108191,822457,89681,486430,2377780,199372,272342
