,¿ùº°½ÂÂ÷ÃÑ½Â°´¼ö,¿ùº°ÇÏÂ÷ÃÑ½Â°´¼ö
2015-01,437278792,435066846
2015-02,376783122,374884262
2015-03,478541350,476451614
2015-04,236022558,234898916
2015-05,234296965,233170178
2015-06,203119706,202399930
2015-07,218172679,217265058
2015-08,210102718,209130600
2015-09,214486255,213578097
2015-10,234349102,233341479
2015-11,223497154,222600581
2015-12,233155014,232154505
2016-01,209273211,208318335
2016-02,193647156,192773472
2016-03,236377700,235428077
2016-04,228348725,227431434
2016-05,234166653,233175677
2016-06,222611572,221688838
2016-07,219465787,218462009
2016-08,214193213,213224598
2016-09,210698312,209805032
2016-10,229681635,228636055
2016-11,228122715,227122581
2016-12,231777262,230724428
2017-01,205502324,204531987
2017-02,204936457,203985242
2017-03,237179303,236204018
2017-04,227780690,226789893
2017-05,227836340,226799684
2017-06,221308605,220362163
2017-07,214815271,213858564
2017-08,213776584,212809390
2017-09,228240103,227170000
2017-10,208204249,207196105
2017-11,228254078,227278770
2017-12,228619448,227669424
2018-01,213710722,212849469
2018-02,189110822,188340921
2018-03,235296346,234409973
2018-04,228971702,228096920
2018-05,235253127,234314673
2018-06,219426719,218542730
2018-07,221632774,220746413
2018-08,214216200,213330490
2018-09,208561416,207742249
2018-10,235739024,234837595
2018-11,232960426,232096833
2018-12,227834001,226826591
2019-01,221848014,220898375
2019-02,190335812,189500198
2019-03,233813277,232879549
2019-04,235928571,235005777
2019-05,243338053,242380504
2019-06,221547039,220663596
2019-07,229254848,228353976
2019-08,219672653,218759210
2019-09,214006728,213170622
2019-10,240101848,239145883
2019-11,232284482,231429861
2019-12,234574904,233673639
2020-01,207743593,206939054
2020-02,169582542,169058614
2020-03,139686779,139308780
2020-04,149118804,148683918
2020-05,165100450,164531970
2020-06,172139447,171605690
2020-07,184119860,183490485
2020-08,153500916,152989131
2020-09,145041726,144602055
2020-10,169782172,169231365
2020-11,172429012,171847194
2020-12,140122036,139666561
2021-01,142681454,142178674
2021-02,143511591,142994483
2021-03,179708599,179109500
2021-04,178281382,177677244
2021-05,174779766,174157717
2021-06,179665956,179060211
2021-07,160193504,159645605
2021-08,153448619,152911075
