,2021.09.01.(수),2021.09.02.(목),2021.09.03.(금),2021.09.04.(토),2021.09.05.(일),2021.09.06.(월),2021.09.07.(화),2021.09.08.(수),2021.09.09.(목),2021.09.10.(금),2021.09.11.(토),2021.09.12.(일)
0,원피스,원피스,원피스,원피스,원피스,원피스,원피스,원피스,원피스,원피스,원피스,원피스
1,나이키후드티,가을원피스,나이키후드티,트위드자켓,나이키후드티,나이키바람막이,나이키바람막이,가을원피스,가을원피스,가을원피스,나이키후드티,나이키후드티
2,후드집업,나이키후드티,가을원피스,나이키후드티,가을원피스,가을원피스,후드집업,나이키바람막이,나이키바람막이,트위드자켓,트위드자켓,써스데이아일랜드원피스
3,나이키바람막이,나이키바람막이,나이키바람막이,가을원피스,나이키바람막이,후드집업,바람막이,나이키후드티,트위드자켓,나이키바람막이,나이키바람막이,가을원피스
4,가을원피스,후드집업,후드집업,나이키바람막이,트위드자켓,나이키후드티,가을원피스,후드집업,나이키후드티,나이키후드티,가을원피스,트위드자켓
5,바람막이,트위드자켓,트위드자켓,후드집업,후드집업,바람막이,나이키후드티,트위드자켓,후드집업,써스데이아일랜드원피스,써스데이아일랜드원피스,나이키바람막이
6,트위드자켓,바람막이,써스데이아일랜드원피스,써스데이아일랜드원피스,바람막이,트위드자켓,트위드자켓,바람막이,바람막이,반팔티,반팔티,바람막이
7,트렌치코트,트렌치코트,반바지,바람막이,트렌치코트,맨투맨,맨투맨,맨투맨,반팔티,반바지,맨투맨,후드집업
8,맨투맨,맨투맨,반팔티,트렌치코트,맨투맨,가디건,가디건,반팔티,반바지,팬츠,후드집업,맨투맨
9,가디건,반팔티,바람막이,가디건,써스데이아일랜드원피스,폴로가디건,폴로가디건,가디건,써스데이아일랜드원피스,바람막이,반바지,블라우스
